model,temperature,run_index,problem_id,step_count,correct,correct_recheck,gold_answer,model_final_answer,비고,gold_choice,model_choice,parse_ok,raw_response_saved,titles,elapsed_time_seconds
gemini-3-pro,0.0,1,2026_odd_common_1,3,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""밑 통일 및 지수 정리"", ""지수법칙을 이용한 곱셈 계산"", ""최종 값 도출""]",17.877995
gemini-3-pro,0.0,2,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""밑 변환 및 지수 정리"", ""지수법칙 적용 및 최종 계산""]",15.100664
gemini-3-pro,0.0,3,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""밑 변환 및 지수 정리"", ""지수법칙 적용 및 최종 계산""]",15.789396
gemini-3-pro,0.5,1,2026_odd_common_1,2,FALSE,TRUE,1,①,,1,1,TRUE,FALSE,"[""밑 통일 및 지수 정리"", ""지수법칙 적용 및 계산""]",13.084702
gemini-3-pro,0.5,2,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""밑 변환 및 식 정리"", ""지수법칙 적용 및 계산""]",27.150179
gemini-3-pro,0.5,3,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""밑 통일 및 식 정리"", ""지수법칙 적용 및 계산""]",12.868454
gemini-3-pro,0.7,1,2026_odd_common_1,2,TRUE,TRUE,1,1,,1,1,TRUE,FALSE,"[""밑 변환 및 식 정리"", ""지수법칙 적용 및 결과 도출""]",17.106823
gemini-3-pro,0.7,2,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""밑 변환 및 지수 정리"", ""곱셈 계산 및 정답 도출""]",16.7366
gemini-3-pro,0.7,3,2026_odd_common_1,2,FALSE,TRUE,1,①,,1,1,TRUE,FALSE,"[""밑 변환 및 지수 정리"", ""곱셈 계산 및 답 도출""]",29.436305
gemini-3-pro,1.0,1,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""밑 통일 및 식 변형"", ""지수법칙 적용 및 계산""]",24.890594
gemini-3-pro,1.0,2,2026_odd_common_1,2,FALSE,TRUE,1,①,,1,1,TRUE,FALSE,"[""밑 변환 및 지수 법칙 적용"", ""지수의 합을 통한 최종 계산""]",19.574198
gemini-3-pro,1.0,3,2026_odd_common_1,3,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""밑 통일하기"", ""지수법칙 적용"", ""지수의 합과 결과 도출""]",18.967494
grok-4,0.0,1,2026_odd_common_1,3,TRUE,TRUE,1,1,,1,1,TRUE,FALSE,"[""기본 표현 변환"", ""지수 간소화"", ""곱셈 계산""]",10.619343
grok-4,0.0,2,2026_odd_common_1,3,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""기본 표현"", ""지수 법칙 적용"", ""지수 덧셈""]",13.635014
grok-4,0.0,3,2026_odd_common_1,2,TRUE,TRUE,1,1,,1,1,TRUE,FALSE,"[""기본 표현 변환"", ""지수 법칙 적용""]",14.530301
grok-4,0.5,1,2026_odd_common_1,2,TRUE,TRUE,1,1,,1,1,TRUE,FALSE,"[""기반 통일"", ""전체 식 단순화""]",15.658863
grok-4,0.5,2,2026_odd_common_1,3,TRUE,TRUE,1,1,,1,1,TRUE,FALSE,"[""기저 표현"", ""지수 법칙 적용"", ""곱셈 및 단순화""]",11.978853
grok-4,0.5,3,2026_odd_common_1,3,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""기본 표현"", ""지수 법칙 적용"", ""전체 식 계산""]",15.251875
grok-4,0.7,1,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""밑 동일화"", ""지수 곱셈""]",12.39249
grok-4,0.7,2,2026_odd_common_1,3,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""기본 표현"", ""지수 법칙 적용"", ""지수 덧셈""]",12.414417
grok-4,0.7,3,2026_odd_common_1,3,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""기본 표현 변환"", ""지수 법칙 적용"", ""지수 합산 및 계산""]",12.013932
grok-4,1.0,1,2026_odd_common_1,3,TRUE,TRUE,1,1,,1,1,TRUE,FALSE,"[""기저 표현"", ""지수 단순화"", ""곱셈 계산""]",13.790906
grok-4,1.0,2,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""기저 통일"", ""지수 법칙 적용""]",22.121145
grok-4,1.0,3,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""9를 3의 제곱으로 표현"", ""지수 곱셈 법칙 적용""]",11.37649
deepseek-v3.2,0.0,1,2026_odd_common_1,3,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""밑 변환"", ""지수법칙 적용"", ""계산""]",17.680152
deepseek-v3.2,0.0,2,2026_odd_common_1,2,TRUE,TRUE,1,"① 1

[/FINAL_ANSWER]",,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙 적용""]",8.562831
deepseek-v3.2,0.0,3,2026_odd_common_1,3,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙 적용"", ""계산""]",3.390712
deepseek-v3.2,0.5,1,2026_odd_common_1,3,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙 적용"", ""계산""]",6.581529
deepseek-v3.2,0.5,2,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙으로 계산""]",7.01574
deepseek-v3.2,0.5,3,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙 적용""]",6.320752
deepseek-v3.2,0.7,1,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""지수법칙을 이용한 밑 통일"", ""지수 계산""]",6.092571
deepseek-v3.2,0.7,2,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙 적용""]",4.643881
deepseek-v3.2,0.7,3,2026_odd_common_1,2,TRUE,TRUE,1,1,,1,1,TRUE,FALSE,"[""밑 통일"", ""지수 계산""]",15.044575
deepseek-v3.2,1.0,1,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""지수법칙을 이용한 밑 통일"", ""지수법칙을 적용하여 계산""]",11.370218
deepseek-v3.2,1.0,2,2026_odd_common_1,3,FALSE,TRUE,1,"①
[/FINAL_ANSWER]",,1,,TRUE,FALSE,"[""식을 거듭제곱의 법칙으로 정리"", ""지수법칙 적용하여 계산"", ""결과 산출""]",6.918041
deepseek-v3.2,1.0,3,2026_odd_common_1,3,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""밑을 3으로 통일"", ""지수법칙으로 계산"", ""결과 계산""]",6.898999
qwen3-235b-a22b-2507,0.0,1,2026_odd_common_1,3,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""조건 정리"", ""밑 통일"", ""식 정리""]",12.891889
qwen3-235b-a22b-2507,0.0,2,2026_odd_common_1,3,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""조건 정리"", ""밑 통일"", ""지수 계산""]",4.612753
qwen3-235b-a22b-2507,0.0,3,2026_odd_common_1,3,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""조건 정리"", ""밑 통일 및 지수 변환"", ""지수 합성""]",4.159596
qwen3-235b-a22b-2507,0.5,1,2026_odd_common_1,3,TRUE,TRUE,1,1,,1,1,TRUE,FALSE,"[""조건 정리"", ""밑 통일"", ""지수 계산""]",3.158241
qwen3-235b-a22b-2507,0.5,2,2026_odd_common_1,3,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""조건 정리"", ""밑 통일"", ""식 정리""]",5.433761
qwen3-235b-a22b-2507,0.5,3,2026_odd_common_1,2,TRUE,TRUE,1,1,,1,1,TRUE,FALSE,"[""지수 법칙 정리"", ""식 정리 및 지수 계산""]",6.071811
qwen3-235b-a22b-2507,0.7,1,2026_odd_common_1,2,TRUE,TRUE,1,1,,1,1,TRUE,FALSE,"[""조건 정리"", ""지수 통일 및 정리""]",3.001991
qwen3-235b-a22b-2507,0.7,2,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""조건 정리"", ""지수 합치기""]",8.108595
qwen3-235b-a22b-2507,0.7,3,2026_odd_common_1,3,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""조건 정리"", ""밑 통일"", ""지수 계산 통합""]",7.191048
qwen3-235b-a22b-2507,1.0,1,2026_odd_common_1,3,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""조건 정리"", ""지수 통합"", ""최종 계산""]",24.537471
qwen3-235b-a22b-2507,1.0,2,2026_odd_common_1,2,TRUE,TRUE,1,1,,1,1,TRUE,FALSE,"[""지수 정리 활용"", ""지수 계산 통합""]",10.486906
qwen3-235b-a22b-2507,1.0,3,2026_odd_common_1,2,TRUE,TRUE,1,① 1,,1,,TRUE,FALSE,"[""지수 통일"", ""지수 계산 통합""]",7.836537
gpt-5.2,0.0,1,2026_odd_common_2,3,FALSE,TRUE,4,13 (④),,4,,TRUE,FALSE,"[""극한식 해석(미분계수)"", ""도함수 구하기"", ""x=1 대입""]",3.632903
gpt-5.2,0.0,2,2026_odd_common_2,3,FALSE,TRUE,4,13 (④),,4,,TRUE,FALSE,"[""극한식 해석(미분계수)"", ""도함수 구하기"", ""x=1 대입""]",4.197598
gpt-5.2,0.0,3,2026_odd_common_2,3,FALSE,TRUE,4,13 (④),,4,,TRUE,FALSE,"[""극한식 해석(미분계수)"", ""도함수 구하기"", ""x=1 대입""]",2.699012
gpt-5.2,0.5,1,2026_odd_common_2,3,FALSE,TRUE,4,13 (④),,4,,TRUE,FALSE,"[""식 전개"", ""차분몫 정리"", ""극한 계산""]",4.867906
gpt-5.2,0.5,2,2026_odd_common_2,3,FALSE,TRUE,4,13 (④),,4,,TRUE,FALSE,"[""극한식 해석(미분계수)"", ""도함수 구하기"", ""값 대입""]",3.758124
gpt-5.2,0.5,3,2026_odd_common_2,3,FALSE,TRUE,4,13 (④),,4,,TRUE,FALSE,"[""극한식 해석(미분계수)"", ""도함수 구하기"", ""x=1 대입""]",3.377944
gpt-5.2,0.7,1,2026_odd_common_2,3,FALSE,TRUE,4,13 (④),,4,,TRUE,FALSE,"[""극한식 해석(미분계수)"", ""도함수 구하기"", ""값 대입""]",3.109869
gpt-5.2,0.7,2,2026_odd_common_2,2,FALSE,TRUE,4,\(13\) (④),,4,,TRUE,FALSE,"[""차분식 전개"", ""h로 나누고 극한 계산""]",4.370183
gpt-5.2,0.7,3,2026_odd_common_2,3,FALSE,TRUE,4,13 (④),,4,,TRUE,FALSE,"[""극한식 해석(미분계수)"", ""도함수 구하기"", ""값 대입""]",3.18906
gpt-5.2,1.0,1,2026_odd_common_2,2,FALSE,TRUE,4,\(13\) (④),,4,,TRUE,FALSE,"[""식 전개 및 차분 계산"", ""극한 계산""]",5.355959
gpt-5.2,1.0,2,2026_odd_common_2,2,FALSE,TRUE,4,\(13\) (④),,4,,TRUE,FALSE,"[""차분식 전개"", ""h로 나누고 극한""]",4.687901
gpt-5.2,1.0,3,2026_odd_common_2,3,FALSE,TRUE,4,13 (④),,4,,TRUE,FALSE,"[""극한식 해석(미분)"", ""도함수 구하기"", ""값 대입""]",3.342851
claude-opus-4.5,0.0,1,2026_odd_common_2,3,FALSE,TRUE,4,"**④ 13**
[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""극한식의 의미 파악"", ""함수 미분"", ""x=1 대입""]",5.383555
claude-opus-4.5,0.0,2,2026_odd_common_2,3,FALSE,TRUE,4,"**④ 13**
[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""극한식의 의미 파악"", ""도함수 계산"", ""x=1 대입""]",4.326609
claude-opus-4.5,0.0,3,2026_odd_common_2,3,FALSE,TRUE,4,"**④ 13**
[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""극한식의 의미 파악"", ""함수 미분"", ""x=1 대입""]",5.202831
claude-opus-4.5,0.5,1,2026_odd_common_2,3,FALSE,TRUE,4,"**④ 13**
[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""극한식의 의미 파악"", ""함수 미분"", ""x=1 대입""]",4.09169
claude-opus-4.5,0.5,2,2026_odd_common_2,3,FALSE,TRUE,4,"**④ 13**
[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""극한식의 의미 파악"", ""함수 미분"", ""x=1 대입""]",4.111473
claude-opus-4.5,0.5,3,2026_odd_common_2,3,FALSE,TRUE,4,"**④ 13**
[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""극한식의 의미 파악"", ""도함수 계산"", ""x=1 대입""]",5.582386
claude-opus-4.5,0.7,1,2026_odd_common_2,3,FALSE,TRUE,4,"**④ 13**
[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""극한식의 의미 파악"", ""함수 미분"", ""x=1 대입""]",4.980919
claude-opus-4.5,0.7,2,2026_odd_common_2,3,FALSE,TRUE,4,"**④ 13**
[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""극한식의 의미 파악"", ""함수 미분"", ""x=1 대입""]",5.214338
claude-opus-4.5,0.7,3,2026_odd_common_2,3,FALSE,TRUE,4,"**④ 13**
[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""극한식의 의미 파악"", ""함수 미분"", ""x=1 대입""]",6.21378
claude-opus-4.5,1.0,1,2026_odd_common_2,3,FALSE,TRUE,4,"**④ 13**
[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""극한식의 의미 파악"", ""도함수 계산"", ""x=1 대입""]",5.108079
claude-opus-4.5,1.0,2,2026_odd_common_2,3,FALSE,TRUE,4,**④ 13**,,4,,TRUE,FALSE,"[""극한식의 의미 파악"", ""함수 미분"", ""x=1 대입""]",5.472885
claude-opus-4.5,1.0,3,2026_odd_common_2,3,FALSE,TRUE,4,"**④ 13**
[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""극한식의 의미 파악"", ""f(x) 미분"", ""f'(1) 계산""]",5.164932
gemini-3-pro,0.0,1,2026_odd_common_2,3,FALSE,TRUE,4,④,,4,4,TRUE,FALSE,"[""미분계수의 정의 확인"", ""도함수 구하기"", ""미분계수 값 계산""]",10.965411
gemini-3-pro,0.0,2,2026_odd_common_2,3,FALSE,TRUE,4,④ 13,,4,,TRUE,FALSE,"[""미분계수의 정의 확인"", ""도함수 계산"", ""미분계수 값 구하기""]",17.857087
gemini-3-pro,0.0,3,2026_odd_common_2,3,FALSE,TRUE,4,④,,4,4,TRUE,FALSE,"[""미분계수의 정의 확인"", ""도함수 구하기"", ""미분계수 값 계산""]",23.484845
gemini-3-pro,0.5,1,2026_odd_common_2,3,FALSE,TRUE,4,④,,4,4,TRUE,FALSE,"[""미분계수의 정의 확인"", ""도함수 구하기"", ""미분계수 계산""]",12.306833
gemini-3-pro,0.5,2,2026_odd_common_2,3,FALSE,TRUE,4,④,,4,4,TRUE,FALSE,"[""미분계수의 정의 확인"", ""도함수 구하기"", ""미분계수 계산""]",14.224677
gemini-3-pro,0.5,3,2026_odd_common_2,3,FALSE,TRUE,4,④ 13,,4,,TRUE,FALSE,"[""미분계수의 정의 확인"", ""도함수 구하기"", ""미분계수 값 계산""]",14.702965
gemini-3-pro,0.7,1,2026_odd_common_2,3,FALSE,TRUE,4,④ 13,,4,,TRUE,FALSE,"[""미분계수의 정의 파악"", ""도함수 계산"", ""미분계수 값 대입 및 계산""]",26.043868
gemini-3-pro,0.7,2,2026_odd_common_2,3,FALSE,TRUE,4,④ 13,,4,,TRUE,FALSE,"[""미분계수의 정의 확인"", ""도함수 구하기"", ""미분계수 계산""]",23.791978
gemini-3-pro,0.7,3,2026_odd_common_2,3,FALSE,TRUE,4,④ 13,,4,,TRUE,FALSE,"[""문제의 의도 파악"", ""도함수 구하기"", ""미분계수 계산""]",27.386208
gemini-3-pro,1.0,1,2026_odd_common_2,3,FALSE,TRUE,4,④ 13,,4,,TRUE,FALSE,"[""미분계수의 정의 확인"", ""도함수 구하기"", ""미분계수 계산""]",19.74256
gemini-3-pro,1.0,2,2026_odd_common_2,3,FALSE,TRUE,4,④,,4,4,TRUE,FALSE,"[""미분계수의 정의 확인"", ""도함수 구하기"", ""미분계수 값 계산""]",12.628219
gemini-3-pro,1.0,3,2026_odd_common_2,3,FALSE,TRUE,4,④,,4,4,TRUE,FALSE,"[""미분계수의 정의 확인"", ""도함수 구하기"", ""미분계수 값 계산""]",15.835539
grok-4,0.0,1,2026_odd_common_2,4,FALSE,TRUE,4,13,,4,,TRUE,FALSE,"[""문제 해석"", ""f(1) 계산"", ""f(1+h) 전개"", ""차분 계산 및 극한""]",27.8094
grok-4,0.0,2,2026_odd_common_2,3,FALSE,TRUE,4,13,,4,,TRUE,FALSE,"[""함수 값 계산"", ""차분 몫 계산"", ""극한값 계산""]",37.115396
grok-4,0.0,3,2026_odd_common_2,3,FALSE,TRUE,4,13,,4,,TRUE,FALSE,"[""함수값 계산"", ""차분 계산"", ""한계값 계산""]",19.277845
grok-4,0.5,1,2026_odd_common_2,4,FALSE,TRUE,4,④ 13,,4,,TRUE,FALSE,"[""f(1) 계산"", ""f(1+h) 전개"", ""차분 quotient 계산"", ""한계값 구하기""]",19.232369
grok-4,0.5,2,2026_odd_common_2,4,FALSE,TRUE,4,13,,4,,TRUE,FALSE,"[""f(1+h) 전개"", ""f(1) 계산"", ""차이의 몫 계산"", ""한계값 계산""]",27.467416
grok-4,0.5,3,2026_odd_common_2,4,FALSE,TRUE,4,13,,4,,TRUE,FALSE,"[""f(1) 계산"", ""f(1+h) 전개"", ""차분 계산 및 h로 나누기"", ""극한 계산""]",21.08973
grok-4,0.7,1,2026_odd_common_2,4,FALSE,TRUE,4,13,,4,,TRUE,FALSE,"[""f(1) 계산"", ""f(1+h) 전개"", ""한계식 단순화"", ""한계값 계산""]",37.35232
grok-4,0.7,2,2026_odd_common_2,3,FALSE,TRUE,4,13,,4,,TRUE,FALSE,"[""f(1+h) 계산"", ""f(1) 계산 및 차이 구하기"", ""h로 나누기 및 한계값 계산""]",29.854046
grok-4,0.7,3,2026_odd_common_2,4,FALSE,TRUE,4,13,,4,,TRUE,FALSE,"[""f(1) 계산"", ""f(1+h) 전개"", ""차이분수 계산"", ""극한 계산""]",22.592317
grok-4,1.0,1,2026_odd_common_2,4,FALSE,TRUE,4,13,,4,,TRUE,FALSE,"[""f(1) 계산"", ""f(1+h) 전개"", ""차분 몫 단순화"", ""극한값 계산""]",20.558243
grok-4,1.0,2,2026_odd_common_2,5,FALSE,TRUE,4,13,,4,,TRUE,FALSE,"[""f(1) 계산"", ""f(1+h) 전개"", ""f(1+h) - f(1) 계산"", ""차분상 계산"", ""극한 계산""]",17.773372
grok-4,1.0,3,2026_odd_common_2,5,FALSE,TRUE,4,13,,4,,TRUE,FALSE,"[""미분 정의 확인"", ""f(1) 계산"", ""f(1+h) 전개"", ""차이 계산 및 나누기"", ""극한 계산""]",20.921161
deepseek-v3.2,0.0,1,2026_odd_common_2,2,FALSE,TRUE,4,"④ 13
[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""문제 이해"", ""미분계수 계산""]",4.907872
deepseek-v3.2,0.0,2,2026_odd_common_2,3,FALSE,TRUE,4,"④ 13

[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""의미 해석"", ""미분 계산"", ""x=1 대입""]",5.379429
deepseek-v3.2,0.0,3,2026_odd_common_2,3,FALSE,TRUE,4,④ 13,,4,,TRUE,FALSE,"[""문제 이해"", ""도함수 계산"", ""x=1에서의 미분계수""]",7.548666
deepseek-v3.2,0.5,1,2026_odd_common_2,3,FALSE,TRUE,4,④ 13,,4,,TRUE,FALSE,"[""문제 이해"", ""도함수 계산"", ""x=1에서의 값""]",57.205365
deepseek-v3.2,0.5,2,2026_odd_common_2,2,FALSE,TRUE,4,"13
[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""도함수 계산"", ""미분계수 평가""]",23.924556
deepseek-v3.2,0.5,3,2026_odd_common_2,3,FALSE,TRUE,4,④ 13,,4,,TRUE,FALSE,"[""문제 이해"", ""도함수 계산"", ""x=1에서의 값""]",6.033163
deepseek-v3.2,0.7,1,2026_odd_common_2,2,FALSE,TRUE,4,④ 13,,4,,TRUE,FALSE,"[""도함수 구하기"", ""미분계수 계산""]",13.280136
deepseek-v3.2,0.7,2,2026_odd_common_2,2,FALSE,TRUE,4,"④ 13
[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""문제 이해"", ""미분계수 계산""]",28.268574
deepseek-v3.2,0.7,3,2026_odd_common_2,3,FALSE,TRUE,4,"13 (보기 ④)
[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""미분계수의 정의 확인"", ""함수 미분하기"", ""x=1에서의 미분계수 계산""]",7.468741
deepseek-v3.2,1.0,1,2026_odd_common_2,2,FALSE,TRUE,4,"④ 13

[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""문제 조건 정리"", ""미분 계산""]",6.271417
deepseek-v3.2,1.0,2,2026_odd_common_2,3,FALSE,TRUE,4,"13 (보기 ④)
[/FINAL_ANSWER]",,4,,TRUE,FALSE,"[""미분계수 정의 확인"", ""도함수 계산"", ""$x=1$에서의 값 계산""]",23.28425
deepseek-v3.2,1.0,3,2026_odd_common_2,3,FALSE,TRUE,4,④ 13,,4,,TRUE,FALSE,"[""문제 해석"", ""함수의 미분 구하기"", ""x=1에서의 미분계수 계산""]",15.822447
qwen3-235b-a22b-2507,0.0,1,2026_odd_common_2,3,FALSE,TRUE,4,13,,4,,TRUE,FALSE,"[""조건 정리"", ""도함수 계산"", ""미분계수 대입""]",5.324121
qwen3-235b-a22b-2507,0.0,2,2026_odd_common_2,3,FALSE,TRUE,4,13,,4,,TRUE,FALSE,"[""조건 정리"", ""도함수 계산"", ""도함수 값 대입""]",6.859911
qwen3-235b-a22b-2507,0.0,3,2026_odd_common_2,3,FALSE,TRUE,4,13,,4,,TRUE,FALSE,"[""조건 정리"", ""미분 계산"", ""값 대입""]",7.333065
qwen3-235b-a22b-2507,0.5,1,2026_odd_common_2,3,FALSE,TRUE,4,13,,4,,TRUE,FALSE,"[""조건 정리"", ""미분 계산"", ""값 대입""]",10.930679
qwen3-235b-a22b-2507,0.5,2,2026_odd_common_2,3,FALSE,TRUE,4,13,,4,,TRUE,FALSE,"[""조건 정리"", ""미분 계산"", ""값 대입""]",19.787376
qwen3-235b-a22b-2507,0.5,3,2026_odd_common_2,3,FALSE,TRUE,4,13,,4,,TRUE,FALSE,"[""조건 정리"", ""도함수 계산"", ""값 대입""]",15.356599
